event_id,source_positive,source_type,background_type,background_file,snr_db,score,raw_logspec_mean,raw_logspec_std,normalized_mean,normalized_std,positive_rms,background_rms,mixture_rms,peak_amplitude,common_gain
3,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0113.wav,REAL,speech,random_segment,15,0.99609375,-1.5618263,1.0937259,2.335529e-08,0.99999917,0.023168169,0.03238891,0.0235235,0.12557296,1.0
3,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0113.wav,REAL,speech,random_segment,10,0.99609375,-1.4892946,1.1099899,1.5570192e-08,0.9999991,0.023168169,0.03238891,0.024284966,0.1250926,1.0
3,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0113.wav,REAL,speech,random_segment,5,0.99609375,-1.3869351,1.1482257,1.4402428e-07,0.9999991,0.023168169,0.03238891,0.02655735,0.12423835,1.0
3,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0113.wav,REAL,speech,random_segment,0,0.9921875,-1.2567587,1.2254374,-1.5570192e-08,0.9999992,0.023168169,0.03238891,0.032731865,0.13117357,1.0
3,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0113.wav,REAL,speech,random_segment,-5,0.9765625,-1.0730566,1.3008024,1.5570192e-08,0.9999992,0.023168169,0.03238891,0.04722639,0.21078275,1.0
3,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0113.wav,REAL,streaming_repro,random_ambient,repro,0.9921875,-1.5540143,1.2671386,-4.671058e-08,0.9999991,0.023168169,0,0.055307567,0.15930176,1.0
4,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0115.wav,REAL,none,none,clean,0.99609375,-1.4708631,1.0942063,-1.2261528e-07,0.9999991,0.020726554,0,0.020726554,0.117767334,1.0
4,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0115.wav,REAL,ambient,random_segment,30,0.99609375,-1.4687759,1.0933559,-5.0603127e-08,0.99999917,0.020726554,0.03520572,0.020729471,0.11671057,1.0
4,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0115.wav,REAL,ambient,random_segment,20,0.99609375,-1.4663188,1.0997312,3.5032933e-08,0.99999905,0.020726554,0.03520572,0.02080649,0.11442556,1.0
4,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0115.wav,REAL,ambient,random_segment,15,0.99609375,-1.4582869,1.1012658,-8.1743515e-08,0.9999991,0.020726554,0.03520572,0.021010458,0.11182473,1.0
4,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0115.wav,REAL,ambient,random_segment,10,0.9921875,-1.4382205,1.109058,1.4207801e-07,0.99999905,0.020726554,0.03520572,0.021667093,0.10739924,1.0
4,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0115.wav,REAL,ambient,random_segment,5,0.97265625,-1.3894573,1.1326342,6.4227045e-08,0.99999917,0.020726554,0.03520572,0.02366327,0.10896656,1.0
4,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0115.wav,REAL,ambient,random_segment,0,0.39453125,-1.3044152,1.185658,-3.892548e-09,0.99999917,0.020726554,0.03520572,0.029144825,0.12532201,1.0
4,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0115.wav,REAL,ambient,random_segment,-5,0.00390625,-1.1700101,1.2387054,1.2650781e-07,0.99999917,0.020726554,0.03520572,0.042079907,0.1544066,1.0
4,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0115.wav,REAL,speech,random_segment,30,0.99609375,-1.4684311,1.1001505,-3.697921e-08,0.9999992,0.020726554,0.090652384,0.020744205,0.118022844,1.0
4,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0115.wav,REAL,speech,random_segment,20,0.99609375,-1.4416299,1.0907407,1.050988e-07,0.99999905,0.020726554,0.090652384,0.02085287,0.11857533,1.0
4,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0115.wav,REAL,speech,random_segment,15,0.99609375,-1.4045632,1.0928783,-1.7516466e-08,0.9999991,0.020726554,0.090652384,0.021092068,0.11920417,1.0
4,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0115.wav,REAL,speech,random_segment,10,0.99609375,-1.3316679,1.0935451,-1.1483017e-07,0.99999917,0.020726554,0.090652384,0.021807637,0.12032243,1.0
4,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0115.wav,REAL,speech,random_segment,5,0.99609375,-1.210705,1.1201514,7.590469e-08,0.99999917,0.020726554,0.090652384,0.023891753,0.12539072,1.0
4,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0115.wav,REAL,speech,random_segment,0,0.98828125,-1.0448794,1.1909353,7.785096e-09,0.99999917,0.020726554,0.090652384,0.029474443,0.13462526,1.0
4,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0115.wav,REAL,speech,random_segment,-5,0.92578125,-0.8305512,1.2778044,-5.4495676e-08,0.9999992,0.020726554,0.090652384,0.042486213,0.1830939,1.0
4,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0115.wav,REAL,streaming_repro,random_ambient,repro,0.0,-0.5490997,1.3217405,-2.5788133e-08,0.9999993,0.020726554,0,0.13590346,0.3164978,1.0
5,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0128.wav,REAL,none,none,clean,0.9921875,-1.649959,1.0963805,-1.4013173e-07,0.99999917,0.022544798,0,0.022544798,0.06951904,1.0
5,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0128.wav,REAL,ambient,random_segment,30,0.9921875,-1.6460073,1.0897162,4.281803e-08,0.99999917,0.022544798,0.026224114,0.02242139,0.069439396,1.0
5,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0128.wav,REAL,ambient,random_segment,20,0.9921875,-1.6233829,1.0690143,-6.617332e-08,0.99999905,0.022544798,0.026224114,0.02223051,0.069267176,1.0
5,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0128.wav,REAL,ambient,random_segment,15,0.9921875,-1.5858731,1.0606382,-6.617332e-08,0.9999991,0.022544798,0.026224114,0.022142218,0.07146127,1.0
5,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0128.wav,REAL,ambient,random_segment,10,0.984375,-1.4841702,1.023824,-4.671058e-08,0.9999991,0.022544798,0.026224114,0.02232759,0.07712932,1.0
5,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0128.wav,REAL,ambient,random_segment,5,0.953125,-1.272585,0.9593561,4.671058e-08,0.9999989,0.022544798,0.026224114,0.023691349,0.08720871,1.0
5,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0128.wav,REAL,ambient,random_segment,0,0.26953125,-0.9448591,0.91397804,-5.8388223e-09,0.99999887,0.022544798,0.026224114,0.028722571,0.10513267,1.0
5,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0128.wav,REAL,ambient,random_segment,-5,0.00390625,-0.48231426,0.8655886,4.671058e-08,0.99999887,0.022544798,0.026224114,0.042129833,0.15031709,1.0
5,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0128.wav,REAL,speech,random_segment,30,0.9921875,-1.6448054,1.0967436,1.5570193e-07,0.9999991,0.022544798,0.027811958,0.022583075,0.06932582,1.0
5,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0128.wav,REAL,speech,random_segment,20,0.9921875,-1.6223112,1.102342,3.1140384e-08,0.99999917,0.022544798,0.027811958,0.022742165,0.06890801,1.0
5,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0128.wav,REAL,speech,random_segment,15,0.9921875,-1.5876176,1.1067002,-7.785096e-09,0.99999917,0.022544798,0.027811958,0.023047706,0.07467785,1.0
5,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0128.wav,REAL,speech,random_segment,10,0.9921875,-1.5239626,1.1240613,0.0,0.99999917,0.022544798,0.027811958,0.023901602,0.08954714,1.0
5,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0128.wav,REAL,speech,random_segment,5,0.9921875,-1.4205298,1.1633905,-1.2456154e-07,0.9999992,0.022544798,0.027811958,0.026280735,0.12121484,1.0
5,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0128.wav,REAL,speech,random_segment,0,0.9921875,-1.2736722,1.2356973,6.228077e-08,0.9999993,0.022544798,0.027811958,0.03248215,0.17786069,1.0
5,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0128.wav,REAL,speech,random_segment,-5,0.984375,-1.0662956,1.3187194,-6.228077e-08,0.9999992,0.022544798,0.027811958,0.046734486,0.27859282,1.0
5,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0128.wav,REAL,streaming_repro,random_ambient,repro,0.0,-1.1521983,1.2464856,8.952861e-08,0.99999917,0.022544798,0,0.05809247,0.16412354,1.0
6,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0129.wav,REAL,none,none,clean,0.9765625,-1.63977,1.1483887,3.892548e-08,0.9999991,0.031433415,0,0.031433415,0.1199646,1.0
6,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0129.wav,REAL,ambient,random_segment,30,0.98046875,-1.6385702,1.1525451,-3.892548e-08,0.9999991,0.031433415,0.020524954,0.031449694,0.12086911,1.0
6,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0129.wav,REAL,ambient,random_segment,20,0.98046875,-1.6070153,1.128223,-6.228077e-08,0.9999992,0.031433415,0.020524954,0.031591978,0.12282489,1.0
6,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0129.wav,REAL,ambient,random_segment,15,0.9765625,-1.5492713,1.094805,1.5570192e-08,0.9999991,0.031433415,0.020524954,0.031929694,0.125051,1.0
6,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0129.wav,REAL,ambient,random_segment,10,0.95703125,-1.4215086,1.0404888,-1.1677645e-07,0.99999905,0.031433415,0.020524954,0.03297305,0.13185132,1.0
6,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0129.wav,REAL,ambient,random_segment,5,0.89453125,-1.1778882,0.9587908,-1.4402428e-07,0.9999989,0.031433415,0.020524954,0.036071394,0.16665874,1.0
6,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0129.wav,REAL,ambient,random_segment,0,0.63671875,-0.8161853,0.8604497,3.5032933e-08,0.9999988,0.031433415,0.020524954,0.04446624,0.24461193,1.0
6,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0129.wav,REAL,ambient,random_segment,-5,0.01953125,-0.37776145,0.78530365,7.785096e-09,0.9999987,0.031433415,0.020524954,0.06414502,0.3832345,1.0
6,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0129.wav,REAL,speech,random_segment,30,0.98046875,-1.6367111,1.1494379,1.0899135e-07,0.99999917,0.031433415,0.033316087,0.031434085,0.11858062,1.0
6,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0129.wav,REAL,speech,random_segment,20,0.984375,-1.604019,1.1549684,-6.228077e-08,0.99999917,0.031433415,0.033316087,0.031542815,0.11828049,1.0
6,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0129.wav,REAL,speech,random_segment,15,0.98828125,-1.5547147,1.1586356,-3.892548e-08,0.9999991,0.031433415,0.033316087,0.031843144,0.12366762,1.0
6,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0129.wav,REAL,speech,random_segment,10,0.9921875,-1.4744747,1.1788816,-9.342116e-08,0.9999992,0.031433415,0.033316087,0.032823883,0.13324745,1.0
6,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0129.wav,REAL,speech,random_segment,5,0.9921875,-1.355268,1.226697,9.342116e-08,0.9999992,0.031433415,0.033316087,0.035828646,0.15028307,1.0
6,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0129.wav,REAL,speech,random_segment,0,0.98828125,-1.19056,1.3000705,7.0065866e-08,0.9999993,0.031433415,0.033316087,0.04411586,0.18057713,1.0
6,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0129.wav,REAL,speech,random_segment,-5,0.96875,-0.9740217,1.3898153,2.335529e-08,0.9999992,0.031433415,0.033316087,0.06371334,0.26507264,1.0
6,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0129.wav,REAL,streaming_repro,random_ambient,repro,0.9453125,-0.9607535,0.8884575,-3.5032933e-08,0.9999988,0.031433415,0,0.040425684,0.16577148,1.0
7,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0142.wav,REAL,none,none,clean,0.984375,-1.4894549,1.1353976,-3.5032933e-08,0.99999917,0.033389863,0,0.033389863,0.103393555,1.0
7,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0142.wav,REAL,ambient,random_segment,30,0.98828125,-1.4882501,1.1388993,3.5032933e-08,0.99999917,0.033389863,0.05856639,0.033947136,0.10303483,1.0
7,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0142.wav,REAL,ambient,random_segment,20,0.98828125,-1.4867268,1.1454967,1.1677645e-08,0.9999991,0.033389863,0.05856639,0.035230257,0.10456712,1.0
